家具の種類,id,use,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z,scl.x,scl.y,scl.z,type,house_num,weight,price,ratio
金庫,42,0,-105.951439,0.000000,76.249146,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,7,5,4,,7500000
金庫,43,0,-35.244225,0.000000,49.840912,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,7,6,4,,1410065408
金庫,44,0,1.295539,0.000000,24.605074,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,7,6,4,,5000000
金庫,45,0,-19.077814,0.000000,19.129898,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,7,6,4,,7500000
タンス,46,1,-97.724365,0.000000,87.451317,0.000000,0.000000,0.000000,1.300000,1.300000,1.300000,8,4,5,,8000000
タンス,47,1,-35.209900,0.000000,73.210922,0.000000,0.009270,0.000000,1.000000,1.000000,1.000000,8,5,5,,8000000
タンス,48,1,-108.767303,0.000000,23.012289,0.000000,4.721658,0.000000,1.000000,1.000000,1.000000,8,6,5,,8000000
ベッド,49,1,-86.354317,0.000000,-78.197350,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,9,4,5,,10000000
ベッド,50,1,-56.824780,0.000000,-30.672279,0.000000,0.009268,0.000000,1.000000,1.000000,1.000000,9,5,5,,10000000
ベッド,51,1,90.027794,0.000000,54.066975,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,9,6,5,,10000000
